Part_ID, Word_RT_Mean, Word_SD, Word_Acc, Word_Eff, Pic_RT_Mean, Pic_SD, Pic_Acc, Pic_Eff, Easy_RT_Mean, Easy_SD, Easy_Acc, Easy_Eff, Hard_RT_Mean, Hard_SD, Hard_Acc, Hard_Eff
44, 1.495, 1.359, 1.905, 1.182, 1.349, 0.572, 1.157, 1.132, -0.511, 0.594,     -0.107, -0.418 
45, 0.459, 0.263, 0.754, 0.818, 0.981, 0.572, 0.560, 1.102, -0.704, -0.269,     -0.186, -0.489 
46, 2.985, 2.767, 1.452, 1.243, 1.139, 0.845, 1.157, -0.086, 0.289, 1.462,     -0.231, 0.194 
47, -0.895, -0.062, -0.569, -1.439, -2.213, -2.535, -2.129, -2.820, 2.315, 2.522,     1.373, 3.522 
48, -1.532, -1.854, -1.495, -1.747, 0.298, 0.298, 0.019, 0.805, -1.157, -1.784,     -0.685, -0.991 
49, -0.375, -0.138, -1.342, -0.567, 0.546, 0.572, 0.214, -0.680, -0.775, -0.585,     -0.707, 0.015 
50, 1.410, 2.035, 1.370, 1.473, 0.298, 0.298, 1.157, 0.850, 0.297, 1.362,     -0.254, -0.238 
51, 0.469, 1.538, 0.443, 0.241, -1.814, -1.413, -0.503, -0.454, 2.574, 2.719,     0.278, 0.129 

GROUP RESULTS
Part_ID, Word_RT_Mean, Word_SD, Word_Acc, Word_Eff, Pic_RT_Mean, Pic_SD, Pic_Acc, Pic_Eff, Easy_RT_Mean, Easy_SD, Easy_Acc, Easy_Eff, Hard_RT_Mean, Hard_SD, Hard_Acc, Hard_Eff
GROUP, 0.52, 0.12, 75.20, 0.70, 0.51, 0.12, 87.19, 0.59, 0.48, 0.13, 80.34, 0.64, 0.50, 0.14, 70.03, 0.79
